Sample Name,Sample ID,Waste Stream Source,Year collected,Analyst,Size,Method,Analysis date,pH,pH stdev,LOI,%LOI stdev,Mg (%),Mg (stdev),Mg Abs. Error ( %),Al (%),Al (stdev),Al Abs. Error ( %),Si (%),Si (stdev),Si Abs. Error ( %),P (%),P (stdev),P Abs. Error ( %),S (%),S (stdev),S Abs. Error ( %),Cl (%),Cl (stdev),Cl Abs. Error ( %),K (%),K (stdev),K Abs. Error ( %),Ca (%),Ca (stdev), Ca Abs. Error ( %),Ti (ug/g),Ti (stdev),Ti Abs. Error ( ug/g),V (ug/g),V (stdev),V Abs. Error ( ug/g),Cr (ug/g),Cr (stdev),Cr  Abs. Error ( ug/g),Mn (ug/g),Mn (stdev),Mn  Abs. Error ( ug/g),Fe (%),Fe (stdev),Fe  Abs. Error ( ug/g),Co (ug/g),Co (stdev),Co Abs. Error ( ug/g),Ni (ug/g),Ni (stdev),Ni Abs. Error ( ug/g), Cu (ug/g),Cu (stdev),Cu Abs. Error ( ug/g),Zn (ug/g),Zn (stdev),Zn Abs. Error ( ug/g),As (ug/g),As (stdev),As Abs. Error ( ug/g),Br (ug/g),Br (stdev),Br Abs. Error ( ug/g),Rb (ug/g),Rb (stdev),Rb Abs. Error ( ug/g), Sr (ug/g),Sr (stdev),Sr Abs. Error ( ug/g),Pb (ug/g),Pb (stdev),Pb Abs. Error ( ug/g)
Jar 5 c,,Municipal ,2010,Pre2018,BULK,Tqk59306,4/17/2012,6.16,,72.1,,0.16,,0.01,0.83,,0,6.4,,0.01,0.11,,0,0.25,,0,0.11,,0,0.64,,0,2.6,,0.01,836.5,,7.8,< 11,,-6.8,37.8,,3.8,283.5,,5.6,0.63,,0,< 8.1,,-6.6,10.1,,0.7,31.1,,0.9,167.8,,1.4,< 3.0,,0,4.3,,0.2,17.5,,0.3,129.3,,0.6,189.6,,1.5
Jar 5-B ,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/21/2010,6.23,,71.1,,0.3,0.07,0.01,1.1,0.13,0.01,7.17,0.48,0.01,0.14,0.01,0,0.32,0.03,0,0.13,0.01,0,0.81,0.08,0,3.42,0.41,0.01,958.1,61.16,9.3,< 13,#DIV/0!,-7.7,53.3,10.53,4.7,351.3,34.06,6.9,0.77,0.07,0,15.3,2.69,3.3,10.9,0.53,0.8,37.3,3.12,1.1,204.7,18.93,1.8,7.3,#DIV/0!,0.9,4.6,0.17,0.2,20.9,1.84,0.3,138.9,5,0.7,210.4,11.63,1.7
Other-1,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/21/2010,6.47,,58.2,,0.82,,0.02,1.61,,0.01,7.86,,0.01,0.36,,0,0.52,,0,0.17,,0,1.12,,0.01,4.09,,0.01,1174,,11,16.7,,3.7,68.3,,5.6,946,,12,1.54,,0,20.9,,4.7,20.3,,1.1,69.2,,1.6,405.5,,2.8,7.9,,1,9.4,,0.3,30.1,,0.4,162.9,,0.8,191.6,,1.8
Other-2,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/21/2010,6.2,,60.1,,0.79,,0.02,1.76,,0.01,9.02,,0.01,0.37,,0,0.44,,0,0.18,,0,1.15,,0.01,3.65,,0.01,1290,,12,< 16,,-9.6,51.8,,5.2,907,,12,1.51,,0,14.2,,4.1,17,,1.1,61.6,,1.5,404.5,,2.7,4.3,,0.8,10.7,,0.3,30.1,,0.4,156.3,,0.8,192.2,,1.8
Other-3,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/21/2010,6.29,,58,,0.68,0.07,0.02,1.57,0.1,0.01,8.07,0.62,0.01,0.33,0.02,0,0.42,0.06,0,0.16,0.01,0,1.06,0.05,0.01,3.45,0.33,0.01,1122,86.01,10,< 15,#DIV/0!,0,60.9,8.26,5.1,844,51.47,11,1.42,0.06,0,16.6,3.39,4.2,18.9,1.66,1.1,66,3.82,1.5,398.2,3.96,2.6,4.7,1.97,0.8,9.7,0.68,0.3,29.2,0.52,0.4,152.7,5.17,0.8,196.4,2.62,1.8
AN 4.1,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/23/2010,,,,,0.44,,0.01,1,,0.01,6.34,,0.01,0.29,,0,0.4,,0,0.06,,0,0.53,,0,4.33,,0.01,922.4,,9,< 13,,-5.4,49.6,,4.7,810,,10,1.02,,0,< 11,,-8.8,12.1,,0.9,49.1,,1.2,457.8,,2.6,3.9,,0.7,7.8,,0.2,21.9,,0.4,173.4,,0.8,217.6,,1.8
AN 4.2,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/23/2010,6.52,,65.3,,0.44,,0.01,1,,0.01,6.27,,0.01,0.31,,0,0.39,,0,0.04,,0,0.5,,0,4.21,,0.01,822.3,,8.3,14.6,,3,40,,4.3,805.7,,9.8,1,,0,14.2,,3.4,12.3,,0.8,49.5,,1.2,446.6,,2.5,< 3.5,,0,7.9,,0.2,18.6,,0.3,168.5,,0.7,220.7,,1.7
AN 4.3,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/23/2010,6.5,,57.7,,0.45,0.01,0.01,1.03,0.02,0.01,6.33,0.04,0.01,0.3,0.01,0,0.4,0.01,0,0.05,0.01,0,0.51,0.02,0,4.39,0.09,0.01,1104,142.8,10,< 14,#DIV/0!,-9.4,48.1,5.16,4.6,867,34.22,10,1.08,0.04,0,11.7,1.77,3.4,13.9,0.99,0.9,53.5,2.43,1.2,459.1,6.87,2.6,3.1,0.57,0.6,7.7,0.1,0.2,20.4,1.65,0.4,175.3,3.51,0.8,218.8,1.56,1.8
wcom1.1,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/23/2010,4.96,,75.9,,0.21,,0.01,0.9,,0.01,5.66,,0.01,0.13,,0,0.26,,0,0.12,,0,0.66,,0,2.43,,0.01,916.9,,8.3,< 12,,-7.7,48.3,,4,371,,6.4,0.72,,0,9.5,,2.7,11.3,,0.8,32.5,,0.9,222.6,,1.7,5.5,,0.7,5.1,,0.2,19.8,,0.3,101.1,,0.6,159.3,,1.4
wcom1.2,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/23/2010,5.13,,73.9,,0.25,,0.01,0.89,,0.01,5.26,,0.01,0.12,,0,0.25,,0,0.15,,0,0.68,,0,2.42,,0.01,817.4,,7.8,< 11,,0,45.1,,3.9,372.7,,6.3,0.68,,0,11,,2.7,10.1,,0.7,34,,0.9,225.2,,1.7,2.7,,0.5,6,,0.2,18.8,,0.3,109.4,,0.6,159.3,,1.4
wcom1.3,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/23/2010,5.2,,69.5,,0.22,0.02,0.01,0.89,0.01,0.01,6,0.37,0.01,0.13,0,0,0.25,0.01,0,0.14,0.01,0,0.66,0.01,0,2.26,0.1,0.01,903.4,53.97,8.2,< 11,#DIV/0!,-7.2,39.9,4.24,4,363,5.18,6.5,0.72,0.02,0,< 8.6,1.06,-7.1,10.2,0.67,0.7,30.8,1.6,0.9,213.2,6.31,1.6,3.7,1.42,0.6,4.8,0.62,0.2,22.7,2.03,0.3,107.3,4.32,0.6,149.8,5.48,1.3
wcom 2,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/23/2010,6.08,,67.2,,0.24,,0.01,1.14,,0.01,7.92,,0.01,0.14,,0,0.33,,0,0.13,,0,0.84,,0,3.41,,0.01,1047,,10,< 14,,-7.7,54.7,,4.8,385.6,,7.4,0.86,,0,13.9,,3.4,12.2,,0.9,42.1,,1.1,227.5,,1.9,3.6,,0.7,5.1,,0.2,21.1,,0.4,139,,0.7,236.1,,1.8
Wcom2.2,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/24/2010,6.08,,65.5,,0.27,0.02,0.01,1.13,0,0.01,7.6,0.22,0.01,0.15,0.01,0,0.33,0,0,0.12,0,0,0.85,0.01,0,3.36,0.04,0.01,1056,6.36,10,14.2,#DIV/0!,3.2,55.4,0.49,4.7,380.3,3.75,7.3,0.81,0.04,0,17.6,2.62,3.5,11.8,0.28,0.8,41,0.78,1.2,222.5,3.54,1.9,4.9,0.92,0.8,5.5,0.28,0.2,18.5,1.84,0.3,132.3,4.74,0.7,224.7,8.06,1.8
Wcom5.1,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/24/2010,6.17,,74.7,,0.24,,0.01,1.08,,0.01,7.35,,0.01,0.13,,0,0.3,,0,0.12,,0,0.79,,0,3.5,,0.01,969.1,,9.4,13.6,,3,56.7,,4.6,357.4,,7,0.79,,0,15.1,,3.3,11.2,,0.8,36.2,,1.1,222.6,,1.8,4.7,,0.8,4.8,,0.2,18.3,,0.3,144.6,,0.7,225,,1.8
Wcom5.2,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/24/2010,6.16,,79.7,,0.24,,0.01,1.11,,0.01,8.14,,0.01,0.14,,0,0.33,,0,0.12,,0,0.85,,0,3.44,,0.01,1140,,10,< 15,,0,64.5,,5,383,,7.4,0.83,,0,< 10,,-8.2,12.9,,0.9,38.8,,1.1,221.6,,1.9,4.9,,0.8,4.9,,0.2,21.9,,0.4,147.9,,0.7,225.2,,1.8
Wcom5.3,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/24/2010,6.13,,68.5,,0.2,0.02,0.01,0.91,0.11,0.01,6.59,0.77,0.01,0.11,0.02,0,0.26,0.04,0,0.11,0.01,0,0.66,0.09,0,2.69,0.45,0.01,882.5,131.03,8.2,< 12,#DIV/0!,-10,50.5,7.02,4.1,325,29.07,6.1,0.71,0.06,0,11.7,2.4,2.8,9.7,1.6,0.7,39.3,1.66,1,197.5,14.21,1.6,< 3.3,0.14,-1,4.6,0.15,0.2,19.7,1.81,0.3,132.7,8,0.6,231.5,3.7,1.7
Homog1,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/24/2010,6.15,,54.8,,0.7,,0.02,1.3,,0.01,7.05,,0.01,0.33,,0,0.42,,0,0.15,,0,0.99,,0.01,3.81,,0.01,1099,,10,< 15,,-7.4,45.5,,4.7,800,,10,1.36,,0,20.9,,4.3,16.8,,1,81.3,,1.6,466.8,,2.8,4.1,,0.7,9.9,,0.3,29.1,,0.4,157.4,,0.8,202.5,,1.7
Homog2,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/24/2010,6.5,,47,,0.74,,0.02,1.37,,0.01,7.26,,0.01,0.35,,0,0.44,,0,0.16,,0,1.04,,0.01,4.13,,0.01,1087,,10,< 15,,0,56.1,,5.2,850,,11,1.39,,0,< 14,,-9.8,16.7,,1,93.9,,1.7,472.1,,2.8,4.5,,0.8,9.6,,0.3,26.5,,0.4,167.8,,0.8,205,,1.8
Homog3,,Municipal ,2010,Pre2018,BULK,Tqk59306,2/24/2010,6.52,,55.6,,0.68,0.03,0.01,1.37,0.04,0.01,7.76,0.37,0.01,0.33,0.01,0,0.41,0.02,0,0.15,0.01,0,1,0.03,0.01,3.97,0.16,0.01,1172,46,11,< 15,#DIV/0!,0,55.5,5.95,5,831,25.24,11,1.35,0.02,0,16.9,2.83,4.1,16.2,0.32,1,103.8,11.28,1.8,468.2,2.75,2.8,7.4,1.8,1,9.8,0.15,0.3,27.8,1.3,0.4,166.6,5.69,0.8,205.1,1.47,1.8
COMPCITYUFL2010-BULK,Urban Learning Farm City Compost,Municipal ,2010,Pre2018,BULK,Tqk59304,2/15/2011,6.84,,53.19,,0.26,,0.01,2.32,,0.01,12.02,,0.02,0.26,,0,0.32,,0,0.03,,0,0.85,,0.01,3.47,,0.01,1772,,13,38.1,,6.3,73.4,,5.8,780,,11,1.75,,0,16.2,,4.4,20.3,,1.2,90.5,,1.7,375.6,,2.7,4.6,,0.8,6.8,,0.3,39.2,,0.5,155.5,,0.8,264.9,,2.1
BCC 1-A bulk,Boston City Compost Sample 1A ,Municipal ,2011,Pre2018,BULK,Tqk59304,5/4/2011,7.98,,52.06,,0.33,,0.01,2.46,,0.01,12.01,,0.02,0.38,,0,0.35,,0,,,,1.28,,0.01,2.8,,0.01,1930,,14,28.6,,5.7,70.9,,5.9,619.3,,9.7,1.56,,0,,,,17.9,,1.1,94.6,,1.8,396.8,,2.7,9.5,,1.2,8.2,,0.3,46.2,,0.5,138.3,,0.8,403.6,,2.6
BCC 3 bulk,Boston City Compost 3/25/11 Sample 3 surface,Municipal ,2011,Pre2018,BULK,Tqk59304,5/4/2011,7.91,,49.53,,0.27,0.04,0.01,2.02,0.31,0.01,9.18,2,0.01,0.3,0.05,0,0.27,0.06,0,,,,0.93,0.24,0,2.53,0.2,0.01,1764,117.38,12,18.2,7.35,4.4,52.9,12.73,4.8,588.3,21.92,8.4,1.43,0.09,0,,,,17.8,0.07,1,83,8.2,1.5,442.9,32.6,2.6,5,3.18,0.8,8,0.14,0.3,33.4,9.05,0.4,132.8,3.89,0.7,437.3,23.83,2.4
3-10 1a,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59306,4/13/2010,6.56,,33.2,,0.39,,0.01,3.28,,0.01,15.08,,0.02,0.39,,0,0.39,,0,0.1,,0,1.22,,0.01,3.13,,0.01,2298,,16,32.9,,6.57,73.7,,6.23,715.33,,11,1.88,,0,21.1,,-7.97,17.73,,1.2,60.43,,1.57,269.17,,2.4,5.4,,-1.67,6.57,,0.3,46.37,,0.5,147.87,,0.8,231.4,,2.1
3-10 1b,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59306,4/13/2010,6.59,,29,,0.36,,0.01,3.31,,0.01,15.39,,0.02,0.39,,0,0.4,,0,0.11,,0,1.26,,0.01,3.19,,0.01,2202,,16,31.77,,6.47,79.1,,6.43,716,,11,1.75,,0,15.4,,-2,19.53,,1.2,61.87,,1.6,277.07,,2.4,5.13,,0.9,6.47,,0.3,47.8,,0.5,144.2,,0.8,219.07,,2
3-10 1c,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59306,4/13/2010,6.45,,40.7,,0.38,0.01,0.01,3.13,0.1,0.01,13.93,0.77,0.02,0.37,0.01,0,0.38,0.01,0,0.1,0,0,1.19,0.04,0.01,3.19,0.04,0.01,2285,52.08,15,36.13,2.27,6.93,70.87,4.18,6,756,23.29,11,1.73,0.08,0,19.07,2.89,4.77,21.13,1.7,1.2,66.83,3.36,1.57,298.37,15.1,2.4,5.63,0.25,0.93,7.5,0.57,0.3,43,2.46,0.5,152.67,4.25,0.8,241.77,11.36,2.1
3-10 2a,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59306,4/13/2010,6.48,,33.8,,0.37,,0.01,3.35,,0.01,15.8,,0.02,0.39,,0,0.4,,0,0.1,,0,1.24,,0.01,3.26,,0.01,2180.67,,16,35.47,,6.8,75.13,,6.37,711,,11,1.77,,0,17.33,,4.8,17.73,,1.2,71.4,,1.7,269.67,,2.4,4.6,,-1.33,6.33,,0.3,47.77,,0.5,151.8,,0.8,244.23,,2.2
3-10 2b,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59306,4/13/2010,6.41,,35.5,,0.32,,0.01,3.28,,0.01,15.97,,0.02,0.39,,0,0.38,,0,0.1,,0,1.25,,0.01,3.09,,0.01,2350.67,,16,27.85,,-0.83,71.2,,6.33,717.33,,11,1.8,,0,16.75,,-1.83,18.67,,1.2,67.63,,1.6,289.07,,2.5,4.1,,-1.87,7.3,,0.3,45.87,,0.5,152.17,,0.8,253.37,,2.2
3-10 2c,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59306,4/13/2010,,,,,0.39,0.04,0.01,2.87,0.26,0.01,12.45,1.98,0.02,0.35,0.02,0,0.37,0.02,0,0.12,0.01,0,1.11,0.08,0.01,3.17,0.08,0.01,2037,157.02,14,27.43,4.52,5.87,64,5.65,5.57,751.67,21.88,10.33,1.69,0.06,0,19.25,1.31,-1.6,19.23,0.76,1.1,84.2,8.68,1.7,314.77,22.62,2.4,4.37,0.25,0.8,8.27,0.97,0.3,40.63,3.69,0.5,154.93,1.71,0.8,281.73,19.55,2.2
3-10 3a,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59306,4/13/2010,6.49,,26.7,,0.37,,0.01,3.32,,0.01,15.92,,0.02,0.38,,0,0.37,,0,0.1,,0,1.26,,0.01,3.11,,0.01,2506,,16.67,33,,0.93,69.67,,6.27,732,,11,1.81,,0,21.5,,0.2,19.03,,1.2,54.87,,1.5,270.47,,2.4,4.9,,-0.47,7.23,,0.3,46,,0.5,148.2,,0.8,232.37,,2.1
3-10 3b,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59306,4/13/2010,6.52,,32.8,,0.36,,0.01,3.36,,0.01,16.19,,0.02,0.39,,0,0.38,,0,0.11,,0,1.29,,0.01,3.09,,0.01,2361.33,,16,33.67,,6.83,74.03,,6.4,697.33,,11,1.69,,0,19.2,,-5.77,18.07,,1.17,54.5,,1.5,267.7,,2.4,5,,-0.53,6.53,,0.3,46.6,,0.5,147.3,,0.8,226.4,,2.07
3-10 3c,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59306,4/13/2010,,,,,0.32,0.03,0.01,3.24,0.06,0.01,16.18,0.15,0.02,0.37,0.01,0,0.38,0,0,0.1,0,0,1.2,0.05,0.01,3.02,0.05,0.01,2249.33,128.68,16,29.8,2.07,-8.23,68.63,2.87,6.2,667.33,32.36,10.33,1.68,0.07,0,18.47,1.58,4.8,15.93,1.59,1.1,49.2,3.17,1.4,238.7,17.6,2.2,3.4,0.9,-1.27,5.77,0.73,0.3,45.47,0.57,0.5,142.8,2.89,0.8,208.43,12.46,2
3-10 4a,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59306,4/13/2010,6.57,,33.3,,0.35,,0.01,3.42,,0.01,16.42,,0.02,0.39,,0,0.38,,0,0.1,,0,1.29,,0.01,3.1,,0.01,2426.67,,16,32.67,,6.83,80.37,,6.5,739.67,,11,1.81,,0,19.65,,-1.33,18.87,,1.2,58.03,,1.53,288.6,,2.5,4.8,,-1.63,6.77,,0.3,49.3,,0.5,156.9,,0.8,276.6,,2.3
Apple 3-10 4b,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59304,4/17/2012,6.17,,25.9,,0.3,,0.01,3.15,,0.01,15.36,,0.02,0.34,,0,0.35,,0,0.11,,0,1.18,,0.01,2.96,,0.01,2125,,15,28,,6.1,69.9,,6.1,730,,11,1.73,,0,18.5,,4.8,19.9,,1.2,59.2,,1.5,300.9,,2.5,< 4.3,,-2.9,7.2,,0.3,45.2,,0.5,149.5,,0.8,254.1,,2.2
Apple 3-10 4c,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59304,4/17/2012,6.44,,34.6,,0.28,0.03,0.01,3.27,0.14,0.01,15.85,0.53,0.02,0.36,0.02,0,0.36,0.01,0,0.1,0,0,1.23,0.06,0.01,2.92,0.1,0.01,2528,209.63,17,28.9,2.48,6.6,80.6,6.11,6.5,720,9.83,11,1.92,0.1,0,22.3,1.95,5.3,18.5,0.73,1.2,65,3.73,1.6,277.2,11.85,2.4,5,0.14,0.9,7,0.22,0.3,50.9,2.94,0.5,152.6,3.72,0.8,258.5,11.92,2.2
Apple 3-10 5a,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59304,4/16/2012,6.53,,33.2,,0.33,,0.01,3.31,,0.01,16.43,,0.02,0.37,,0,0.39,,0,0.11,,0,1.3,,0.01,3.04,,0.01,2478,,17,26.4,,6.3,113.5,,7.2,685,,11,1.82,,0,17.4,,4.9,17.2,,1.2,56.8,,1.5,266.4,,2.4,4.6,,0.9,5.6,,0.3,54.1,,0.6,151.1,,0.8,198.8,,2
Apple 3-10 5b,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59304,4/16/2012,6.54,,33,,0.3,,0.01,3.21,,0.01,15.84,,0.02,0.36,,0,0.38,,0,0.11,,0,1.22,,0.01,2.99,,0.01,2513,,17,34.1,,7.1,83,,6.5,693,,11,1.81,,0,22.9,,5.3,17.9,,1.2,55.7,,1.5,277.3,,2.4,< 4.1,,-3.2,6.5,,0.3,45.2,,0.5,152.3,,0.8,224.7,,2.1
Apple 3-10 5c,Apple D'Or Municipal Compost,Municipal ,2010,Pre2018,BULK,Tqk59304,4/16/2012,,,31.2,,0.3,0.02,0.01,3.23,0.06,0.01,15.98,0.31,0.02,0.36,0.01,0,0.37,0.01,0,0.1,0.01,0,1.29,0.04,0.01,2.93,0.06,0.01,2241,147.97,16,40.4,7.01,7.2,63.7,25.11,6.1,669,12.22,11,1.68,0.08,0,17.7,3.09,4.8,17.1,0.44,1.1,53.2,1.84,1.5,257.6,9.87,2.3,< 3.9,#DIV/0!,-3,6.6,0.55,0.3,49.8,4.45,0.5,145.4,3.69,0.8,206.8,13.26,2
Apple D'Or A1,Apple D'Or Municipal Compost,Municipal ,2011,Pre2018,BULK,Tqk59304,11/2/2011,6.23,,23.66,,0.29,,0.01,1.7,,0.01,11.04,,0.02,0.23,,0,0.32,,0,0.02,,0,0.69,,0,3.16,,0.01,1236,,12,17.3,,3.7,65.3,,6,817,,11,1.65,,0,16.7,,4.5,20.4,,1.2,70.6,,1.6,353.8,,2.6,4.6,,0.8,5.9,,0.3,40.6,,0.5,140.7,,0.8,211.2,,1.9
Apple D'Or A2,Apple D'Or Municipal Compost,Municipal ,2011,Pre2018,BULK,Tqk59304,11/2/2011,6.24,,30.19,,0.35,,0.01,1.79,,0.01,10.38,,0.02,0.23,,0,0.3,,0,0.02,,0,0.68,,0,3.15,,0.01,1112,,11,24.9,,4.3,62.2,,5.8,747,,11,1.62,,0,18.2,,4.6,18.2,,1.1,68,,1.6,330.5,,2.5,5.3,,0.9,5.2,,0.2,39.8,,0.5,142.4,,0.8,204.5,,1.9
Apple D'Or A3,Apple D'Or Municipal Compost,Municipal ,2011,Pre2018,BULK,Tqk59304,11/2/2011,6.33,,27.46,,0.31,0.03,0.01,1.65,0.07,0.01,11.74,0.68,0.02,0.23,0,0,0.36,0.03,0,0.02,0,0,0.7,0.01,0,3.28,0.07,0.01,1221,67.68,12,16.4,4.67,3.6,68.6,3.2,6.1,769,35.8,11,1.72,0.05,0,16.9,0.81,4.6,18.1,1.3,1.2,64.5,3.06,1.5,319.6,17.47,2.5,4.4,0.47,0.8,4.2,0.85,0.2,41.9,1.06,0.5,132.7,5.18,0.8,168.6,22.91,1.8
comp city 2006 13.B1,Boston City Compost 2006,Municipal,2006,EXJ2018,BULK,,,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp city 2006 13.B3,Boston City Compost 2006,Municipal,2006,EXJ2018,BULK,,,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp city 2006 13.B2,Boston City Compost 2006,Municipal,2006,EXJ2018,BULK,Tqk59304,3/14/2018,6.56,,,,0.489,,0.013,2.317,,0.011,16.54,,0.02,0.2615,,0.0015,0.3133,,0.0011,0.0148,,0.00022,0.9443,,0.0064,3.357,,0.01,1700,,16,< 19,,-11,62,,6.7,879,,14,1.78,,0.005,< 16,,-7.8,34.2,,1.6,113.8,,2.5,351.3,,3.3,< 4.0,,0,6.3,,0.3,41.6,,0.6,147.5,,1,249.5,,2.6
comp city 2006 24.B1,Boston City Compost 2006,Municipal,2006,EXJ2018,BULK,,,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp city 2006 24.B2,Boston City Compost 2006,Municipal,2006,EXJ2018,BULK,,,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comp city 2006 24.B3,Boston City Compost 2006,Municipal,2006,EXJ2018,BULK,Tqk59304,3/16/2018,6.86,,,,0.519,,0.013,2.492,,0.011,17.32,,0.02,0.3091,,0.0017,0.364,,0.0012,0.0107,,0.00019,0.906,,0.0062,3.501,,0.01,1727,,16,< 19,,-4,53.6,,6.4,765,,13,1.625,,0.005,< 15,,-10,29.3,,1.5,67.5,,2,320.7,,3.1,< 3.7,,-3,6.2,,0.3,36.5,,0.6,135.2,,0.9,225,,2.4
BUSPH P1 A4 6,,Municipal,2009,EXJ2018,BULK,Tqk59304,3/14/2018,5.78,,,,0.2032,,0.0074,0.6207,,0.0048,4.89,,0.009,0.1126,,0.0008,0.1446,,0.0006,0.00941,,0.00014,0.3288,,0.0028,2.151,,0.006,591,,6.8,8.5,,2,29.6,,3.6,384.3,,7,0.6741,,0.0024,10.8,,3.2,16.1,,0.8,46.6,,1.2,198.2,,1.8,< 2.2,,0,4.4,,0.2,14.8,,0.3,106.3,,0.6,142.9,,1.4
BUSPH P1 A4 7,,Municipal,2009,EXJ2018,BULK,Tqk59304,3/16/2018,5.63,,,,0.416,,0.011,0.9546,,0.0063,5.435,,0.01,0.1739,,0.001,0.2376,,0.0008,0.02888,,0.00022,0.4703,,0.0035,3.291,,0.008,763.8,,8.3,12.3,,2.7,26.7,,4,593.2,,9.4,0.8947,,0.0031,18.6,,4.3,19.7,,1,42,,1.3,255.8,,2.2,3.5,,0.8,5.9,,0.2,19.9,,0.4,141.7,,0.8,171.8,,1.7
BUSPH P1 A4 8,,Municipal,2009,EXJ2018,BULK,,,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSPH P1 A2 1,,Municipal,2009,EXJ2018,BULK,,,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSPH P1 A2 2,,Municipal,2009,EXJ2018,BULK,,,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSPH P1 A2 3,,Municipal,2009,EXJ2018,BULK,,,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSPH P1B5 1,,Municipal,2009,EXJ2018,BULK,,,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSPH P1B5 2,,Municipal,2009,EXJ2018,BULK,,,6.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSPH P1B5 3,,Municipal,2009,EXJ2018,BULK,,,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHB Binne Q1Q4 .B1,,Municipal,2012,EXJ2018,BULK,,,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHB Binne Q1Q4 .B2,,Municipal,2012,EXJ2018,BULK,,,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHB Binne Q1Q4 .B3,,Municipal,2012,EXJ2018,BULK,,,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
